guarantee_id,dist_network
G170202104361,4761.92301600817
G170202006779,4740.40280340182
G170202001886,4424.93717007203
G170202002847,4249.61596632224
G170202004382,4207.23511095358
G170202006381,4871.9481910684
G170202302030,5406.35362648884
G170202401973,4742.97304651118
G170202005201,5161.11961948604
G170202000231,3949.18116688175
G170202000509,13611.0505288496
G170202200714,11598.4274043643
G170202101024,10130.1321086412
G170202006494,13747.3521196175
G170202302263,15126.3676971415
G170202102183,3253.4635014204
G170202000417,7566.72552938684
G170202203750,7265.43127945243
G170202004347,7580.56508901278
G170202008018,7052.8057845584
G170202303547,5594.34175556953
G170202001628,5392.55511999395
G170202202390,4791.61766461919
G170202103458,3597.60482882499
G170202102011,6794.6351512468
G170202303261,2796.33544332107
G170202003584,6017.66634206228
G170202102933,5896.58592209258
G170202101439,5521.05471017471
G170202302563,6763.07656357467
G170202303345,5163.53900227978
G170202007436,5460.4264943855
G170202302734,5634.60388069094
G170202003238,5481.22271028675
G170202105374,4533.2658919817
G170202008255,4293.41775427456
G170202002462,5022.68941516872
G170202000880,5380.49107173487
G170202005102,4409.48357491807
G170202002158,4401.73691926344
G170202004364,4945.25996057547
G170202006750,3789.5956481776
G170202008532,3987.06474821454
G170202000747,3984.40238385064
G170202301750,4646.37284901582
G170202009544,5037.28293260514
G170202204046,5298.56918848654
G170202003352,5227.8429431796
G170202007333,5243.30479785153
G170202202589,4604.71719513594
G170202002221,4178.30728098744
G170202001579,3957.98794169827
G170202304538,3969.44712518118
G170202303346,4515.65708696432
G170202105390,4795.32324441392
G170202103688,4904.31130583346
G170202002089,4152.09342502536
G170202004692,5420.612497724
G170202202676,4123.31890886398
G170202003175,4726.90590917117
G170202001050,4071.08261978753
G170202008986,14761.0926877708
G170202202071,14694.6902572531
G170202005020,17872.7853723188
G170202101573,16686.8751255116
G170202209057,11770.5751306735
G170202008457,8385.98619013101
G170202002626,7790.03587704758
G170202105312,14385.3326489486
G170202009447,14340.4042868764
G170202301397,14295.8372143423
G170202302123,14236.1824469691
G170202104587,14218.9023905243
G170202002097,14106.5091162288
G170202004211,13974.8790098062
G170202009561,13629.8656479526
G170202201406,13449.5055281852
G100202003169,14486.3814008343
G170202102656,14478.833469856
G170202007355,14223.8194502104
G170202002798,12497.371269925
G170202003349,12493.2391521375
G170202006227,12619.4980999865
G170202007590,12659.0487391513
G170202004176,12740.3391186534
G170202007937,13400.3418688322
G170202009830,13260.4939701109
G170202006570,13274.8160320689
G170202201907,13443.0968991974
G170202004906,13614.8286276224
G170202006576,13767.5544157146
G170202006817,13892.1696088963
G170202001182,13921.5462550431
G170202009346,14315.1995130447
G170202200059,9521.02029994109
G170202005253,10935.5318757418
G170202004453,10888.4266105195
G170202302642,10482.3212007874
G170202002451,3052.74506546946
G170202401069,3092.33028537458
G170202005471,3137.5355852766
G170202102949,8190.10050029173
G170202006608,8173.72089372444
G170202208325,8104.26369479362
G170202400401,8059.77483661709
G170202001401,8015.25654665887
G170202009807,8027.95710177388
G170202101651,8028.2752856456
G170202203755,8061.54181641465
G170202303538,8098.91672807297
G170202300751,8172.95095594554
G170202105319,8203.69463138759
G170202200805,8105.9765537436
G170202003161,8009.46315190538
G170202000522,7911.06243383881
G170202104787,13917.6412505495
G170202101634,13829.9660508444
G170202008546,13170.6883030059
G170202005974,12868.9758920503
G170202101700,12548.8425967891
G170202007389,11742.8037736503
G170202004273,7211.81647698258
G170202205473,7220.21680321413
G170202303239,7336.64806916758
G170202005375,7504.02682417573
G170202009013,7863.21123812673
G170202100868,8043.79393832883
G170202103069,8098.50846108097
G170202204112,8153.20110222279
G170202207977,8171.55546331557
G170202204903,16371.9149047164
G170202008064,17723.1195786626
G170202206837,17752.9492344664
G170202204298,17925.933306068
G170202008865,12454.6145087251
