guarantee_id,dist_network
G400202400231,3882.10703441003
G400202200865,3831.75072819002
G400202301499,3734.18889394492
G400202301314,3774.31331934638
G400202400191,2599.36451175311
G400202401118,2569.19840732758
G400202200723,2357.25507066916
G400202300796,2301.19209476672
G400202400210,2153.80708199547
G400202200987,2301.12272971234
G400202301223,2085.96924078977
G400202301703,2140.75492242479
G400202300404,20658.3434192113
G400202300235,17824.6370124346
G400202200769,17764.7366786273
G400202400920,17036.6394719415
G400202401054,5912.10287834858
G400202400471,2245.20106270965
G400202401136,2373.89095405909
G400202400019,2506.96974685089
G400202300426,2688.80298904229
G400202200881,2710.74262855118
G400202200601,3697.43616133211
G400202300057,8206.57837695446
G400202300959,9040.13069294046
G400202301739,9723.51956787723
G400202200966,6173.12095479583
G400202300327,6235.85532246845
G400202400180,11017.6956564041
G400202201048,11837.1013095051
G400202301485,4875.78595308883
G400202300489,6118.01071646285
G400202400183,6273.77926115293
G400202400567,3964.55724889851
G400202201146,3969.37442894849
G400202300009,3994.42015309698
G400202200170,4153.03919201063
G400202400423,4184.20730746626
G400202200385,19119.9603958961
G400202400156,18439.2643710495
G400202400005,18425.0196732384
G400202200093,18231.6333390405
G400202301506,18212.7807677531
G400202200382,18207.8795723243
G400202200845,18202.1778063518
G400202400144,18244.7165825094
G400202400573,18258.4949552099
G400202400700,18137.0721355071
G400202200380,18308.9960567105
G400202200619,18341.5021181785
G400202200255,18230.630397835
G400202200252,18234.789617689
G400202400028,18273.1978693801
G400202200799,18273.2288013874
G400202200670,18307.0161895541
G400202300930,1929.71037999423
G400202300383,629.696268091521
G400202301540,481.487262612787
G400202401119,527.216894027055
G400202400206,520.176229145682
G400202200529,463.452947938188
G400202400025,3839.15060654962
G400202301320,3857.68855278857
G400202300860,3943.95070025996
G400202201099,4010.05729407239
G400202200645,935.171213999608
G400202201100,25682.2159990081
G400202201161,24715.7824125316
G400202301140,24704.8636771725
G400202301044,24566.0242669048
G400202301447,15833.6788572558
G400202400479,19013.9972113106
G400202301496,19241.2291716997
G400202400617,2835.23255055715
G400202400634,5441.98115189233
G400202300770,17146.7105212468
G400202301012,17344.1608108296
G400202300583,12518.996406456
G400202301030,12530.0186791998
G400202201027,12558.6186517557
G400202200911,13039.9266350329
G400202300329,13873.2347515955
G400202200854,16940.242470621
G400202200938,17098.1283807993
G400202200823,531.918797248234
G400202200798,491.089080449794
G400202400638,16108.6446894748
G400202201159,15977.1218286425
G400202301309,13122.58472402
G400202300095,2243.18007103598
G400202301287,2144.78313034656
G400202400101,2023.98807525687
G400202400476,2833.44585940388
G400202201211,22318.6350333564
G400202200554,936.694756261401
G400202201183,2375.65458738641
G400202400454,3695.37914324915
G400202401055,15157.663629559
G400202200630,14859.0005467006
G400202201128,14771.8892393466
G400202400095,13772.4205271939
G400202301230,13923.4363681978
G400202401080,14087.8000362653
G400202200752,2336.87900898688
G400202301200,2583.32235916692
G400202301742,4273.03848292829
G400202300945,6266.56963248331
G400202400282,18322.6638386437
G400202400712,8531.27590058799
G400202401053,8344.30481566472
G400202301464,3049.53502423215
G400202400644,2259.81967250036
G400202200893,1404.65850533288
G400202200184,7648.76490427142
G400202301296,7634.38117466799
G400202200821,7333.46370451067
G400202201022,7282.42906074355
G400202301451,5878.94240694001
G400202300541,7697.72975512017
G400202300782,7593.09449022144
G400202300736,7591.56521823312
G400202200464,7259.42376649162
G400202300985,6108.13603243334
G400202201029,6146.43928382986
G400202401021,5186.79348819178
G400202300452,16977.4767583534
G400202201057,16039.3291381085
G400202301626,16147.0521524762
G400202300965,15937.8518183581
G400202200579,18193.1071246687
G400202400912,18168.2518007646
G400202400364,18152.4282482023
G400202300168,17998.1364078661
G400202400618,19057.7102942449
G400202300687,10888.9548145172
G400202400606,12195.2878846609
G400202200548,9578.50592121856
G400202200333,9222.77777256092
G400202301092,18050.2028858792
G400202400993,18289.1621671931
G400202400313,18197.9080951034
G400202201179,18196.2436446411
G400202400227,18158.828366468
G400202300705,18147.1617676645
G400202300176,11652.3709072244
G400202200412,12726.8788926298
G400202200369,12739.9862746108
G400202300727,12004.1497450974
G400202301379,18221.508713009
G400202400179,27266.5980161304
G400202300524,17135.5464022666
G400202300878,17112.4466498608
G400202401069,15785.6153608243
G400202401133,13462.2051738152
G400202400297,13331.5109740014
G400202200309,8872.01206810144
G400202400921,3532.69870611129
G400202400463,3512.43208303791
G400202200931,3499.0874878382
G400202300939,3468.97430319662
G400202200767,3364.88329728164
G400202200909,3289.28615702789
G400202200681,4032.33456047583
G400202400166,4053.68099285374
G400202400104,26525.1280504782
G400202301235,15916.3165061137
G400202401030,17917.008330383
G400202400944,1698.70898829516
G400202200762,1816.75630018459
G400202400782,1642.18250645971
G400202301757,1607.49492019903
G400202301057,1209.40410771936
G400202301164,1500.76209104747
G400202400349,1535.18705908779
G400202301215,1984.81061300994
G400202300462,2121.77775606916
G400202200849,2179.14111794017
G400202300632,2209.85074579906
G400202301550,6108.13833021678
G400202300242,3032.83262602834
G400202301679,2952.16658407946
G400202200403,2162.43597763529
G400202301881,16707.2292619093
G400202301049,13974.5817925601
G400202400588,11621.8633460576
G400202400959,11774.1364366594
G400202201032,11690.3199492575
G400202400721,11356.2579239743
G400202300981,11833.3335263805
G400202400345,12163.579571565
G400202200673,12188.0608903903
G400202200614,6733.41171815391
G400202300754,28426.1245398823
G400202301892,26461.6829980783
G400202200629,27731.077025648
G400202400564,27532.8606755063
G400202400122,26582.2685494808
G400202300434,26545.245668908
G400202300601,27824.384395153
G400202301628,10892.2519516159
G400202400505,12546.8051215914
G400202200256,26027.2345480694
G400202200836,26028.5866306667
G400202200834,26040.5223539001
G400202400437,11209.027211449
G400202301876,14531.8175398001
G400202200703,7743.00110698094
G400202401000,25602.6074796781
G400202200622,26338.407955171
G400202401146,15983.837415215
G400202400309,4871.88605239293
G400202301710,3030.99715309154
G400202301298,3008.18954376423
G400202200883,2969.17955144097
G400202200365,2894.27550302098
G400202200902,2877.46680920913
G400202400717,2894.86087476581
G400202300010,2937.10427681791
G400202200705,2961.31861186319
G400202200586,3015.17235914507
G400202301098,3027.07415683938
G400202301210,3072.84788073599
G400202301862,5202.09074634088
G400202400761,4203.02165937457
G400202400344,6774.12116168603
G400202400903,14476.8000993503
G400202301332,3348.20947968165
G400202400582,3261.89407097037
G400202301741,3244.71148170847
G400202301629,3202.57427242273
G400202200896,3214.462822129
G400202300920,3237.5427982697
G400202301508,2611.64488351035
G400202300956,2638.59962911534
G400202301765,2854.6401229931
G400202300783,2827.2742305805
G400202300331,3012.77401752561
G400202301087,3285.67900788133
G400202400239,3158.56641706933
G400202400744,3118.8735136524
G400202400466,3098.56128565475
G400202400596,3073.31553453652
G400202400977,3066.25610634979
G400202400815,2983.32322544596
G400202400491,3581.72465855552
G400202301293,3388.97066328778
G400202301526,3250.0585938613
G400202300386,3109.79956033804
G400202300158,3096.55416435149
G400202200946,3087.60197033205
G400202200795,3061.86536346612
G400202200805,2962.30482159901
G400202300721,2953.10505482868
G400202300799,1814.83381179739
G400202300099,1876.64719871709
G400202400439,1948.86157661567
G400202301437,1990.41881767541
G400202300921,2005.9406469072
G400202201001,2031.59265605016
G400202300737,2067.94672534901
G400202400593,2111.25235011924
G400202400547,1993.06226643687
G400202301195,1933.52905577643
G400202301442,3495.55863585742
G400202300284,3509.04243810291
G400202400741,3529.61074926156
G400202300006,4466.93885452076
G400202200875,3927.04625460049
G400202400220,3949.86727864748
G400202300225,4369.45739335232
G400202401038,12463.2146404987
G400202200561,5482.25389012221
G400202300446,5874.18327371558
G400202400065,5001.81761536839
G400202301896,4564.43850057398
G400202300513,5383.02660629323
G400202300669,5422.43358805069
G400202300738,15979.7323795416
G400202200383,8696.34709250753
G400202200719,13109.5505564066
G400202400549,10991.8075802076
G400202200342,12055.9826565743
G400202300193,6937.53198115953
G400202401076,767.746725667381
G400202301002,938.589213429876
G400202400554,873.31205278162
G400202400086,295.67996432528
G400202400453,538.948349830535
G400202400905,195.065079854426
G400202300470,196.396749057685
G400202400892,210.247502328483
G400202200449,227.170642688913
G400202301349,235.343430634557
G400202200258,295.794506566576
G400202400762,330.057666942172
G400202200607,440.022530786658
G400202400915,126.077951814011
G400202300690,4915.00503553371
G400202400158,5249.64741472375
G400202301194,1026.75687987259
G400202400885,1022.04809901118
G400202300333,1018.51776326698
G400202400848,983.350714465113
G400202200203,6626.04200367091
G400202400369,1249.05144392499
G400202400597,1077.34251878425
G400202300313,1046.28615289264
G400202200747,4623.81184020319
G400202401022,5513.3665813313
G400202300290,6895.62012933375
G400202301158,7416.13874626843
G400202300418,5381.69756253373
G400202301509,3269.91622158227
G400202300280,1995.72139935708
G400202201039,1847.51502423869
G400202400576,1806.76059252472
G400202400134,5401.25502755984
G400202301869,19780.490786398
G400202200655,19403.0069248294
G400202200853,20415.0125132416
G400202300233,16572.5848041502
G400202300458,17230.8044368443
G400202200595,9570.98205968701
G400202301828,18101.1570631544
G400202400268,18119.1259554222
G400202200857,18133.6549902826
G400202300932,18152.0011920567
G400202301004,18222.837008951
G400202300490,18322.1974626302
G400202200462,18330.1891486428
G400202200667,18363.6581647564
